,Unnamed: 0,A31,Longitude,Latitude,shadow_length,shadow,wall_length,x,y,exp_shadow
71046,172577,9.004289672486642,126.91147035778185,37.550950808149814,5.869822590957919,45.991099475178366,7.835177087979568,984,0,35
71052,176565,8.5,126.91147137679941,37.55379565834764,5.5410802892754605,48.2615051441505,8.70976463516667,1843,0,40
71056,164393,18.008579344973285,126.91147380026892,37.55234533086986,11.739645181915838,100.60540301176786,8.56971411425142,1405,0,88
71073,164236,10.4,126.911481832952,37.5489454123036,6.77967470687821,64.45684585487173,9.507365565707463,378,2,54
71090,168351,36.01715868994657,126.9114895377742,37.55163614254101,23.479290363831677,219.41519328918358,9.345052166788584,1191,4,207
71104,166529,27.01286901745993,126.91149838130931,37.55115618782227,17.609467772873767,123.33229223565256,7.003748996073459,1046,6,119
71116,182546,9.004289672486642,126.91150351109873,37.553945816123814,5.869822590957919,44.94536611629311,7.657022920169432,1889,7,35
71118,167578,12.3,126.9115046974444,37.54923862194868,8.01826912448096,89.50701558856753,11.16288493177279,467,8,88
71119,177205,18.008579344973285,126.91150477080325,37.55277311723983,11.739645181915838,113.08514478152112,9.632756614801394,1534,8,99
71146,164755,18.008579344973285,126.91151622522177,37.5508510100856,11.739645181915838,90.3266335287603,7.694153624668537,954,11,77
71218,165314,18.008579344973285,126.91154340840069,37.551059427761935,11.739645181915838,97.00669918688229,8.26317130404544,1017,17,88
71221,168612,36.535035743887185,126.91154439003986,37.55332025464401,23.816890168050318,285.3259466021115,11.979983305497552,1700,17,253
71222,322968,36.535035743887185,126.91154439211194,37.55332025431867,23.816890168050318,285.3259466021115,11.979983305497552,1700,17,253
71268,165952,18.008579344973285,126.91156326348793,37.550766640138285,11.739645181915838,91.2979155783717,7.776888838089433,928,22,77
71274,172137,9.004289672486642,126.9115645574567,37.552672700842436,5.869822590957919,60.02162686556317,10.225458424931373,1504,22,50
71297,174366,18.008579344973285,126.91157340885157,37.55385502220256,11.739645181915838,98.23494905169711,8.367795408588812,1861,24,88
71298,178067,18.008579344973285,126.91157352482188,37.54900701410834,11.739645181915838,83.02842787409584,7.07248188403477,397,24,77
71316,172742,18.008579344973285,126.91158290521489,37.550972813434775,11.739645181915838,92.01216057947391,7.83772926299448,991,27,77
71343,336174,9.8,126.91159729694976,37.55147891257232,6.388539627635237,62.78020199934226,9.82700361249552,1143,30,54
71348,183976,18.008579344973285,126.91159970786192,37.553187050300004,11.739645181915838,113.57765439621204,9.674709297958259,1659,31,99
71392,181164,14.4,126.91162130549914,37.547872586253284,9.387241901831366,93.48674985109169,9.9589156036187,54,36,81
71411,183494,13.2,126.91162819009264,37.55222077304649,8.60497174334542,71.56108898523658,8.316249154516717,1368,37,64
71422,164759,10.4,126.91163328268186,37.55087482910992,6.77967470687821,57.37543813835539,8.462860036654275,961,39,48
71431,167630,9.0,126.91163651774592,37.554117530255425,5.867026188644606,90.31219199459369,15.393180308175435,1941,39,75
71447,174228,7.8,126.91164512264791,37.553610275430934,5.084756030158657,43.22341718581872,8.500588214941367,1787,42,40
71457,173289,18.008579344973285,126.91164840537857,37.5530798097691,11.739645181915838,97.8342896527648,8.333666660000267,1627,42,88
71461,171459,5.1,126.91165116918232,37.5517177216184,3.324648173565276,32.29874739696237,9.714936952960633,1216,43,27
71470,166264,8.1,126.91165674326015,37.55280057414176,5.280323569780143,50.304609242722606,9.526804291051644,1543,44,45
71481,166237,9.5,126.91166190101832,37.552420354824655,6.192972088013749,57.41456293630343,9.270922284217468,1428,46,54
71503,166132,18.008579344973285,126.91166929374191,37.55007561516295,11.739645181915838,90.54760246769749,7.712976079309465,719,47,77
71509,166120,18.008579344973285,126.9116738095102,37.5521356961119,11.739645181915838,93.02511435273381,7.924014134263013,1342,48,77
71510,165001,10.2,126.911674731801,37.550800545366776,6.649296347130552,52.68492240891203,7.923383115816122,938,49,42
71535,415864,18.008579344973285,126.91168660084128,37.54891770679245,11.739645181915838,111.09947673772535,9.463614531456782,370,51,99
71536,164233,18.008579344973285,126.91168660113004,37.548917705724456,11.739645181915838,111.09947673772535,9.463614531456782,370,51,99
71560,172448,9.1,126.91170156859656,37.551621716831825,5.932215368518432,60.82763006090281,10.253779790886869,1187,55,50
71565,167072,18.008579344973285,126.91170281309893,37.548162422776215,11.739645181915838,106.28107680587853,9.053176238205019,141,55,99
71566,324957,18.008579344973285,126.91170281423041,37.54816242279564,11.739645181915838,106.28107680587853,9.053176238205019,141,55,99
71568,166539,17.6,126.91170399375851,37.551222545596794,11.473295657793894,95.44926967825499,8.319254774317228,1066,56,88
71569,360257,7.6,126.91170400353485,37.552693657546,4.9543776704110005,43.691319326841004,8.818730067305609,1510,56,32
71570,164604,18.008579344973285,126.91170407488084,37.5504868792979,11.739645181915838,112.95710656602428,9.621850133939937,844,56,99
71573,167137,7.1,126.91170498343504,37.553534329960215,4.628431771041853,42.66952228727815,9.219002115196634,1764,56,36
71584,182404,9.004289672486642,126.91170866988544,37.5529882583047,5.869822590957919,55.66127169818211,9.48261567290376,1599,57,45
71585,165155,18.008579344973285,126.91170916585024,37.55073722658129,11.739645181915838,79.49222278641653,6.77126280689208,919,57,66
71586,168668,9.5,126.91171031347479,37.55322924825725,6.192972088013749,56.49538575144331,9.122499657440388,1672,57,54
71604,173603,18.008579344973285,126.91172159168968,37.55204608928416,11.739645181915838,95.71231274109506,8.152913589631622,1315,60,88
71611,170415,6.1,126.91172538747072,37.547820692754335,3.976539972303565,39.18052366024382,9.85291834940288,38,61,27
